Time (s),Accel X1,Accel Y1,Accel Z1,Accel X2,Accel Y2,Accel Z2
0.0001184440000088216,0.0,0.0,0.0,0.984375,-0.0546875,0.078125
0.04456885500002272,0.0,0.0,0.0,0.921875,-0.1015625,0.0703125
0.08639895100000672,0.0,0.0,0.0,1.9921875,-0.0546875,0.109375
0.12684065999999916,0.0,0.0,0.0,1.0390625,0.984375,0.1171875
0.16752220099999704,0.0,0.0,0.0,0.03125,-0.9765625,0.0390625
0.1977060789999996,0.0,0.0,0.0,1.0234375,-0.0390625,0.09375
0.22716112500000918,0.0,0.0,0.0,1.953125,-0.0625,0.1484375
0.2563977260000172,0.0,0.0,0.0,1.0,-0.0390625,0.0078125
0.2889741959999981,0.0,0.0,0.0,1.96875,-0.0859375,0.015625
0.32393299800000364,0.0,0.0,0.0,0.0,-0.0859375,0.0859375
0.35929309700000545,0.0,0.0,0.0,0.96875,0.9765625,0.0234375
0.39435606700001813,0.0,0.0,0.0,0.9609375,-0.0859375,0.0703125
0.42943153600000983,0.0,0.0,0.0,1.9453125,-0.0625,0.0703125
0.46461039500002244,0.0,0.0,0.0,0.9921875,-0.0625,0.0859375
0.5207252840000081,0.0,0.0,0.0,0.9609375,-0.984375,0.0625
0.5597728270000175,0.0,0.0,0.0,0.8984375,-0.015625,0.078125
0.5914835760000017,0.0,0.0,0.0,0.0234375,-0.0625,0.1015625
0.6185303820000172,0.0,0.0,0.0,0.0,-0.09375,0.0703125
0.6460618920000059,0.0,0.0,0.0,0.0,-0.03125,0.09375
0.6730560680000224,0.0,0.0,0.0,1.0390625,0.9765625,0.109375
0.711767889000015,0.0,0.0,0.0,0.9375,-0.078125,0.0625
0.7516419869999993,0.0,0.0,0.0,0.9765625,-0.0703125,0.0859375
0.7912713999999994,0.0,0.0,0.0,0.0078125,0.84765625,0.109375
0.8264888330000133,0.0,0.0,0.0,0.8984375,-0.0390625,0.0859375
0.861535396000022,0.0,0.0,0.0,0.96875,0.90625,0.09375
0.896945273,0.0,0.0,0.0,1.953125,-0.0625,0.046875
0.932014946999999,0.0,0.0,0.0,0.96875,-0.0546875,0.0859375
