Time (s),Accel X1,Accel Y1,Accel Z1,Accel X2,Accel Y2,Accel Z2
0.013247564987977967,9.490615380859374,-3.81156904296875,1.5251064575195312,4,0,0
0.05259674499393441,9.526528405761718,-3.246537451171875,1.388636962890625,4,246,28
0.09210884899948724,9.430760339355468,-3.3207577026367185,1.5682020874023437,252,-256,16
0.13176156298140995,9.469067565917967,-3.4739866088867184,1.5370774658203123,238,2,22
0.16835227300180122,9.459490759277344,-3.2225954345703123,1.3910311645507811,248,-48,14
0.2007113589788787,9.548076220703125,-3.469198205566406,1.4963760375976562,510,-4,10
0.23280007898574695,9.344569079589844,-3.450044592285156,1.2378022583007813,12,240,8
0.26628333897679113,9.79946739501953,-3.7325603881835936,1.3168109130859373,0,226,12
0.30186309598502703,9.543287817382812,-3.564966271972656,1.43652099609375,244,252,18
0.33731216797605157,9.627084875488281,-3.718195178222656,1.1707646118164061,14,238,240
0.3749109229829628,9.358934289550781,-3.162740393066406,1.407790576171875,506,224,28
0.4140188089804724,9.521740002441407,-3.5960908935546874,1.4987702392578124,492,-2,10
0.4534485249896534,9.490615380859374,-3.507505432128906,1.446097802734375,2,-22,18
0.48951388799468987,9.18655177001953,-3.447650390625,1.3096283081054687,502,-14,8
0.524840072990628,9.418789331054686,-3.5098996337890624,1.35990654296875,256,-256,20
0.5606361239915714,9.447519750976562,-3.4811692138671875,1.3383587280273437,256,18,242
0.5959226619743276,9.303867651367186,-3.208230224609375,1.89620771484375,254,14,-248
0.6316127319878433,9.452308154296874,-3.1459809814453124,1.388636962890625,16,-256,22
0.6677848899853416,9.394847314453125,-3.7301661865234372,1.5107412475585937,18,-256,24
0.7035152379830834,9.449913952636718,-3.7110125732421873,1.2114660400390624,256,-30,32
0.7391421789943706,9.315838659667968,-3.806780639648437,1.47482822265625,14,-20,6
0.773417726974003,9.428366137695312,-2.9831752685546875,1.2138602416992186,226,-26,36
0.8056083899864461,9.423577734375,-3.758896606445312,1.4724340209960938,252,-8,38
0.8376879049756099,9.744400756835937,-2.559401574707031,1.455674609375,510,-256,16
0.8714318849961273,9.991003527832031,-2.8898014038085935,1.1013327636718748,240,-30,32
0.9108863049768843,9.6917283203125,-3.825934252929687,1.6041151123046875,26,0,24
0.9501914859865792,9.0788126953125,-3.4261025756835934,0.9720458740234375,8,-20,22
0.986947118974058,9.813832604980469,-3.679887951660156,1.2832920898437499,0,-12,16
1.0222759890020825,9.821015209960937,-2.7533319091796873,1.4700398193359374,262,-254,20
1.0577006919775158,9.45470235595703,-3.124433166503906,1.5562310791015623,504,0,4
1.0935869829845615,9.694122521972655,-3.392583752441406,1.7214309936523438,504,-4,0
1.1295637909788638,9.327809667968749,-3.9456443359374997,1.7190367919921874,6,-10,30
1.1656544859870337,9.770736975097655,-2.4492682983398435,0.9840168823242187,298,26,0
1.1844903259770945,9.311050256347656,-3.342305517578125,1.4915876342773438,14,-20,28
1.2027529119804967,9.062053283691405,-3.478775012207031,2.2673089721679687,506,188,20
1.2211145529872738,9.284714038085937,-4.13718046875,2.1547814941406247,496,-42,24
1.239174030983122,9.095572106933593,-4.915296008300781,2.636016027832031,256,248,34
